category,bin_lo,n,contracts,delta,sd_dev,t,pval,mid
Crypto,0.0,38232,8168393.0,-0.00896761874869233,0.12667030065461052,-13.842541802326359,1.7972877047053525e-43,0.025
Crypto,0.05,69611,10671396.0,-0.020615707287642476,0.21740574514072364,-25.018781777790107,1.5537123165053777e-137,0.07500000000000001
Crypto,0.1,78540,10250191.0,-0.021229564553093924,0.29799159566438793,-19.965607034929196,1.8204624324069422e-88,0.125
Crypto,0.15,80399,9734398.0,-0.02221943058993305,0.3541416818369001,-17.790215270777743,1.1504125041881769e-70,0.175
Crypto,0.2,81395,9548941.0,-0.019508446464770655,0.399707095269505,-13.924502656435642,5.05205869026195e-44,0.225
Crypto,0.25,79576,9301775.0,-0.0066773901678886536,0.4399090972554135,-4.281883653668952,1.855346298683203e-05,0.275
Crypto,0.3,76998,8576808.0,-0.00657315774435664,0.463249734818896,-3.9373008233955873,8.247572143183624e-05,0.325
Crypto,0.35,75582,8146721.0,0.0037412346855066774,0.4834754554714141,2.127402722836565,0.033389864209339114,0.375
Crypto,0.4,78155,8753806.0,0.0056595227432671815,0.49395393671094817,3.2031091806134966,0.0013600690064081147,0.42500000000000004
Crypto,0.45,79657,8678705.0,-0.0012154612902833333,0.498910222939311,-0.6875918212988177,0.4917118620390501,0.47500000000000003
Crypto,0.5,78028,8710153.0,-0.007178961398471662,0.49982147392749837,-4.012101808850493,6.0236594993646424e-05,0.525
Crypto,0.55,74846,8312414.0,0.0004821900969993289,0.49490716069317786,0.26655009820356756,0.7898163159474385,0.5750000000000001
Crypto,0.6,71012,8317159.0,0.016497070917591204,0.4809384140692898,9.14077979242798,6.358236174952594e-20,0.625
Crypto,0.65,66148,7827829.0,0.016694986998850574,0.46413588342518874,9.251226159030711,2.2830302667808462e-20,0.675
Crypto,0.7,60305,7640672.0,0.006606583202056443,0.44578099034196883,3.6394187229575246,0.00027348228593778535,0.725
Crypto,0.75,62339,8884221.0,0.011960089189752708,0.4134122546195182,7.223222417845435,5.134815867479272e-13,0.775
Crypto,0.8,60714,8498269.0,0.0029739434067921674,0.3818757236560058,1.9189120601080027,0.05500014707942361,0.8250000000000001
Crypto,0.85,64450,8870403.0,0.00612505818463938,0.32922537999981977,4.723113388157364,2.327495527794144e-06,0.875
Crypto,0.9,67266,9549189.0,-0.003982100912794143,0.27733917873551317,-3.723907097537305,0.0001963231512916248,0.925
Crypto,0.95,83193,13468752.0,-0.012722584832858362,0.19817535826634605,-18.516934748424237,2.1490737010357094e-76,0.975
Entertainment,0.0,7890,1772453.0,-0.01671863117870701,0.06481732803495265,-22.911213618365494,1.5896081685310777e-112,0.025
Entertainment,0.05,3348,436575.0,-0.02183990442054936,0.2099306771552607,-6.01959886204177,1.9376042677446683e-09,0.07500000000000001
Entertainment,0.1,2073,245405.0,0.03354558610709151,0.36204964032160597,4.218586076567889,2.564329440551753e-05,0.125
Entertainment,0.15,1702,148508.0,0.06759106933019966,0.42742473123647995,6.523932333666793,9.008618466970142e-11,0.175
Entertainment,0.2,1988,171500.0,0.11239436619718207,0.4677704147919747,10.713218985211356,4.477397567467922e-26,0.225
Entertainment,0.25,1480,141871.0,0.10979729729729694,0.4871472747901702,8.670861120414635,1.1077257957483789e-17,0.275
Entertainment,0.3,1763,206527.0,0.12389109472490233,0.49700048479856024,10.466691752792334,6.496762766249587e-25,0.325
Entertainment,0.35,2016,280231.0,0.1723313492063493,0.4952250623319187,15.62452908245949,4.934876087781423e-52,0.375
Entertainment,0.4,1744,196815.0,-0.006548165137614804,0.4920752476135135,-0.555726803485602,0.5784689526746446,0.42500000000000004
Entertainment,0.45,1298,90750.0,-0.0016872110939906548,0.49675834674019875,-0.12236623438726271,0.9026279352637276,0.47500000000000003
Entertainment,0.5,923,72146.0,0.007302275189598884,0.5003141991804174,0.44342095958387334,0.6575653079747347,0.525
Entertainment,0.55,1657,217377.0,-0.11643934821967494,0.5025762086528995,-9.431029302206012,1.3205127094188669e-20,0.5750000000000001
Entertainment,0.6,3357,569951.0,-0.38369079535300166,0.42900151940157566,-51.82009692911151,0.0,0.625
Entertainment,0.65,2938,387205.0,-0.4549353301565651,0.40748915094992344,-60.51450853613326,0.0,0.675
Entertainment,0.7,2484,306253.0,-0.45975845410628824,0.4429720838211934,-51.72841385100712,0.0,0.725
Entertainment,0.75,1679,201900.0,-0.0611554496724238,0.45197247378636846,-5.5443230321429375,3.421795871162675e-08,0.775
Entertainment,0.8,1193,211876.0,0.06781223805532255,0.3124301129118818,7.496791181418341,1.2719417953296806e-13,0.8250000000000001
Entertainment,0.85,1416,269202.0,0.061320621468927285,0.2581393471962788,8.938897696349853,1.1982040981160678e-18,0.875
Entertainment,0.9,1144,294089.0,0.05907342657342697,0.14315779347949453,13.956938965626886,5.377726866998198e-41,0.925
Entertainment,0.95,1063,158429.0,-0.06731890874882412,0.29803256133791894,-7.364444344719762,3.5622603751955696e-13,0.975
Finance,0.0,162756,127331581.0,-0.006002605126689681,0.14239705873582087,-17.006199122203945,8.406818754633793e-65,0.025
Finance,0.05,140372,57741553.0,-0.02520253326873733,0.19992772739339248,-47.229289388869645,0.0,0.07500000000000001
Finance,0.1,96036,26463015.0,-0.0432627348077784,0.26442573824958837,-50.702255025146165,0.0,0.125
Finance,0.15,81542,19798384.0,-0.05444850506488448,0.3185180320822362,-48.81379985098959,0.0,0.175
Finance,0.2,73536,12899878.0,-0.04777251958224901,0.3762508024334057,-34.4310854063048,9.84360537336949e-258,0.225
Finance,0.25,64921,9642157.0,-0.0344304616379884,0.42352035143845057,-20.713865967792024,5.2786295021841054e-95,0.275
Finance,0.3,62491,8474851.0,-0.017363620361332543,0.45891052104074054,-9.458472479712123,3.2286140198607257e-21,0.325
Finance,0.35,61932,8195318.0,-0.012566686042757116,0.4788090333826552,-6.531545886905393,6.559640234237043e-11,0.375
Finance,0.4,61495,8187643.0,-0.008571265956582141,0.4919303447984526,-4.320771115288503,1.5572850808737776e-05,0.42500000000000004
Finance,0.45,65448,8048643.0,-0.02025180295807429,0.49727158842705294,-10.418812837794354,2.130102560030418e-25,0.47500000000000003
Finance,0.5,67679,9804886.0,-0.019223392780625063,0.4998900139310879,-10.00420414056201,1.5167310663890027e-23,0.525
Finance,0.55,60755,8134387.0,-0.03592115875236679,0.49871512366485493,-17.753697339877558,2.4315347451715755e-70,0.5750000000000001
Finance,0.6,56603,7334947.0,-0.02843453527198402,0.4916182696910972,-13.760615044809336,5.1590852168470886e-43,0.625
Finance,0.65,49423,7315215.0,-0.007418206098372575,0.47252030574435844,-3.4901409842609925,0.00048318630703249527,0.675
Finance,0.7,46392,7206803.0,0.02607022762545015,0.43491067723612653,12.911190858189714,4.52760795937311e-38,0.725
Finance,0.75,49171,9945823.0,0.045713530332922865,0.38825794396408103,26.108320294732625,3.0684078392993216e-149,0.775
Finance,0.8,50104,11808017.0,0.06205193198148221,0.32436099965590554,42.82159867104086,0.0,0.8250000000000001
Finance,0.85,54610,16084719.0,0.05398718183482792,0.2631628953688836,47.94044819571894,0.0,0.875
Finance,0.9,53481,17074506.0,0.02923804715693321,0.2180360445532199,31.01128962546502,2.746295099251439e-209,0.925
Finance,0.95,61282,21305301.0,0.0030754544564471614,0.16279665462265783,4.676600687452073,2.92290266434787e-06,0.975
Other,0.0,185893,73606565.0,-0.010455853636229522,0.11390029796362068,-39.579121757154645,0.0,0.025
Other,0.05,170609,44700170.0,-0.019144945460086694,0.2154920045982855,-36.696440554313234,1.1748595100817895e-293,0.07500000000000001
