bin_lo,taker_side,vwar_pp,contracts,n,mid
0.0,no,-0.01279277874287113,169267369.0,776057,0.025
0.0,yes,-0.9667611622005788,498155113.0,961773,0.025
0.05,no,0.7174521690108497,101951425.0,614416,0.07500000000000001
0.05,yes,-3.755150091050654,232579723.0,907496,0.07500000000000001
0.1,no,1.5194605508921943,79118418.0,516219,0.125
0.1,yes,-3.329100555306092,150862939.0,771529,0.125
0.15,no,0.7447393308565428,70261404.0,476900,0.175
0.15,yes,-3.5497311582512063,137340276.0,776504,0.175
0.2,no,-0.5354735303224705,59802844.0,440851,0.225
0.2,yes,-0.6199587008593214,117368060.0,755267,0.225
0.25,no,-0.06834565755994661,54363249.0,414352,0.275
0.25,yes,-1.1710875651851365,109153678.0,753142,0.275
0.3,no,-0.8623451358610864,50582724.0,390329,0.325
0.3,yes,-1.6556811536540075,105431975.0,749261,0.325
0.35,no,-0.13219163304463763,46552848.0,374087,0.375
0.35,yes,-1.6207279269430694,106325780.0,778514,0.375
0.4,no,-1.4412677506086897,50789737.0,370986,0.42500000000000004
0.4,yes,-2.9303645148110093,116194236.0,801365,0.42500000000000004
0.45,no,1.6238501021814775,49917044.0,362664,0.47500000000000003
0.45,yes,-3.1204363554756585,148604804.0,935521,0.47500000000000003
0.5,no,-2.1662403681492233,52822922.0,365055,0.525
0.5,yes,-0.89086693678514,144839488.0,855400,0.525
0.55,no,-3.240676322015571,43506731.0,319632,0.5750000000000001
0.55,yes,2.3489814344395743,145154034.0,832712,0.5750000000000001
0.6,no,-4.717252353123555,40824460.0,314773,0.625
0.6,yes,0.3922192413897919,108443976.0,691471,0.625
0.65,no,-1.388637082483521,39438146.0,281756,0.675
0.65,yes,0.1384526589603463,98846509.0,610368,0.675
0.7,no,-2.26618847890683,38535909.0,261058,0.725
0.7,yes,-2.588979158163026,88244620.0,517050,0.725
0.75,no,-4.033287543999045,39220196.0,254837,0.775
0.75,yes,3.5677967554264343,81386911.0,469689,0.775
0.8,no,-5.321662136127603,45645046.0,257515,0.8250000000000001
0.8,yes,2.263617246816047,81991574.0,427472,0.8250000000000001
0.85,no,-2.3149135263208507,49633600.0,257900,0.875
0.85,yes,1.2965790788913867,85592386.0,394060,0.875
0.9,no,-2.7924003195172964,66870864.0,305738,0.925
0.9,yes,2.1048106384201475,94770914.0,421742,0.925
0.95,no,-0.28432215850625214,143902182.0,448326,0.975
0.95,yes,-0.3132539447672491,128113579.0,467324,0.975
